,,,,,,EUR,"4,40",USD,"3,7",,,,,,,,,,,,,,,,,,,,
kod,data,status,Kto_odpowiedzialny,nazwa oferty,Link,Koszty_zbiorcze,transport,Zakwaterowanie,Pilotaż,Inne,koszta stałe,Wpływy,wpływy dodatkowe,ilosc osób spodziewanych,ilość osob zakontraktowanych,realna_liczba_osób,kraj,dlugość wycieczki w dniach,cena zwykla,cena first minute,czy stacjonarna,czy przejazdowa,czy samolot,czy rejs,czy autokar,sezon,ilosc gwiazdek w hotelu,City Breaki,czy tygodniowa badz
SRO01,2018-05-01,1,IG,(ID1265) RomanianTRIP | Transylwania | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BoSpRn2okOzawd88T9pmeKTPWK4gF6HmiusRB4E61uc/edit#gid=1626993402,"28 505,40 zł","13 028,40 zł","11 264,00 zł","1 824,00 zł","2 389,00 zł","1743,32","39 717,00 zł","0,00 zł",60,60,,RUMUNIA,5,599,499,0,1,0,0,1,WIOSNA,3,1,0
STG01,2018-05-01,1,IG,(ID1254) SlovenianTRIP | 6 miejscówek,https://docs.google.com/spreadsheets/d/1zSEkluhkhGQYd4YucVXchLdThM7RZerQom6CSWz45ss/edit#gid=1626993402,"28 425,59 zł","11 986,48 zł","9 790,70 zł","1 882,13 zł","4 766,28 zł","1575,54","30 652,00 zł","0,00 zł",50,50,,SŁOWENIA,5,599,449,0,1,0,0,1,WIOSNA,0,1,0
MBS02,2018-05-02,1,BOK,(ID1284) Kite Majówka | Półwysep Helski | Małe Morze,,"472,50 zł","0,00 zł","0,00 zł","0,00 zł","472,50 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SCB01,2018-05-31,1,MM,(ID1350) Boże Ciało | BalticTRIP | Ryga - Sztokholm - Helsinki - Tallin,https://docs.google.com/spreadsheets/d/1UP-2KjKbHXEaxsn7yX99Hkp6I4PMoLMp_Li0z2ShXUc/edit#gid=1792454922,"24 864,11 zł","7 925,30 zł","11 682,00 zł","2 114,56 zł","3 142,25 zł",0,"14 992,00 zł","5 654,00 zł",30,9,,SZWECJA,5,599,499,0,1,0,1,1,WIOSNA,0,1,0
SUO01,2018-06-01,1,MS,(ID1344) Czerwiec | Ukraina | Lwów,,"12 241,62 zł","4 500,00 zł","3 469,62 zł","792,00 zł","3 480,00 zł","514,13","0,00 zł","3 674,00 zł",56,45,,Ukraina,3,349,199,1,0,0,0,1,Lato,0,1,0
SGR01,2018-06-17,1,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=1626993402,"53 708,24 zł","13 247,10 zł","30 800,00 zł","3 331,79 zł","6 329,35 zł",0,"19 070,20 zł","5 610,00 zł",100,0,,Grecja,12,499,399,1,0,0,0,1,Lato,0,,1
BAL01,2018-06-21,1,ŁR,(ID1346) Filipiny + Indonezja |Bohol + Bali| #Samolot | 16 dni,https://docs.google.com/spreadsheets/d/1wXbyD9ilds-7ph4jYcxDtmXHAV5omY3NmHKqNi1tPrU/edit#gid=1626993402,"108 313,03 zł","78 607,85 zł","12 121,64 zł","3 600,00 zł","13 983,55 zł",0,"70 820,00 zł","8 107,37 zł",20,0,,Filipiny,16,6599,599,0,1,1,0,0,LATO,0,0,1
PHI02,2018-06-21,0,ŁR,(ID1323) Filipiny #Samolot | 16 dni,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SGR02,2018-06-26,0,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=1044686970,"4 400,00 zł","0,00 zł","4 400,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",40,0,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
SCH01,2018-06-27,0,IG,(ID1257) Chorwacja | Makarska (12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",61,0,,,,,,,,,,,,,,
SVV04,2018-06-27,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"28 624,01 zł","15 719,30 zł","7 920,00 zł","2 608,00 zł","2 376,71 zł","1580,39","27 243,00 zł","2 886,40 zł",20,20,,GRECJA ,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBZ01,2018-06-29,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=1626993402,"466,51 zł","0,00 zł","0,00 zł","0,00 zł","466,51 zł",0,"44 664,54 zł","0,00 zł",50,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SBZ02,2018-06-29,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=391333091,"43 660,85 zł","9 258,00 zł","32 203,60 zł","1 704,00 zł","495,25 zł",0,"0,00 zł","88,00 zł",60,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SGK01,2018-06-29,0,MM,(ID1256) Grecja | Wyspa Korfu | Kavos (10 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",60,0,,GRECJA,10,699,599,1,0,0,0,1,LATO,0,0,1
SLW01,2018-06-29,0,NN,(ID1337) Lucky Holidays! | Niespodzianka (7 - 15 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SSE01,2018-06-29,0,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=1626993402,"763,69 zł","0,00 zł","0,00 zł","0,00 zł","763,69 zł",0,"0,00 zł","0,00 zł",0,0,,ALBANIA,10,,,1,0,0,0,1,LATO,4,0,1
SPO01,2018-06-30,0,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",43,0,,PORTUGALIA,15,1599,1399,0,1,0,0,1,LATO,3,0,1
